input,output
 What's the problem ? , She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . 
 She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . , For example ? 
 For example ? ," Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . "
" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . "," No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . "
" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ", It's not just that . She also criticizes how we raise the kids . 
 It's not just that . She also criticizes how we raise the kids . ," My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . "
" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ", You said she used to ? How did you stop her ? 
 You said she used to ? How did you stop her ? ," We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . "
" We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . ", That sounds like a good idea . I'll have to try that . 
How are Zina's new programmers working out ? ," I hate to admit it , but they're good . And fast . The Filipino kid is a genius . "
" I hate to admit it , but they're good . And fast . The Filipino kid is a genius . "," So you'll make the Stars.com deadline , and have us up and running next week ? "
" So you'll make the Stars.com deadline , and have us up and running next week ? "," It'll be close , but we'll make it . "
" It'll be close , but we'll make it . "," Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . "
" Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . "," And if we don't need them , we won't need Zina , either . "
Do you like cooking ? , Yes . I like cooking very much . I got this hobby when I was 12 years sold . 
 Yes . I like cooking very much . I got this hobby when I was 12 years sold . , Why do you like it ? 
 Why do you like it ? , I have no idea . I like cooking by myself . I like to taste delicious food . 
 I have no idea . I like cooking by myself . I like to taste delicious food . , That's wonderful ! 
 That's wonderful ! ," And I love trying new recipes , which I usually test with my friends . You can come , too . "
" And I love trying new recipes , which I usually test with my friends . You can come , too . ", Really ? I hope I can have a chance to taste it . Don't forget to tell me . 
 Really ? I hope I can have a chance to taste it . Don't forget to tell me . , Certainly . 
Anyone home ? Jen ! , I'm in the kitchen ... let yourself in ! 
 I'm in the kitchen ... let yourself in ! , Wow ! You're really working up a storm ! 
 Wow ! You're really working up a storm ! , I know . I've even worked up a sweat . 
 I know . I've even worked up a sweat . , You look like a cooking show host--only messier . 
You look so tan and healthy ! , Thanks . I just got back from summer camp . 
 Thanks . I just got back from summer camp . , How was it ? 
 How was it ? , Great . I got to try so many things for the first time . 
 Great . I got to try so many things for the first time . , Like what ? 
 Like what ? ," I went sailing , fishing , and horseback riding . "
" I went sailing , fishing , and horseback riding . ", I ’ m so jealous . 
 I ’ m so jealous . , The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes ! 
"Diana , do you like the perfume I gave you ? "," It ’ s good . But to tell you the truth , I don ’ t wear perfume . "
" It ’ s good . But to tell you the truth , I don ’ t wear perfume . ", I ’ m sorry . I didn ’ t know that . 
 I ’ m sorry . I didn ’ t know that . , That ’ s all right . Thank you all the same . 
"Ah , ah , ah ... "," All right , Bill.Here ' s your daily exercise schedule . You are to jog before breakfast . "
" All right , Bill.Here ' s your daily exercise schedule . You are to jog before breakfast . ", Jog ? 
 Jog ? ," Then , you are to walk to work . "
" Then , you are to walk to work . ", Walk ? 
 Walk ? , Thirty minutes in gym at lunch time . 
 Thirty minutes in gym at lunch time . , Oh no . 
 Oh no . ," Use the stairs , never the elevator . "
" Use the stairs , never the elevator . "," Oh , dear . "
" Oh , dear . "," And three times a week , you can either swim , play racketball , or hand ball . "
" And three times a week , you can either swim , play racketball , or hand ball . ", Oh no . 
 Oh no . ," OK , you can stop now.It ' s time for the dance class . "
" OK , you can stop now.It ' s time for the dance class . ", Dance class ! I don't know how . 
 Dance class ! I don't know how . , You will . 
 You will . , Oh ... 
"Hi Bill , I saw your grandma yesterday . ", Oh where was that ? 
 Oh where was that ? , I was running around the track at my college and there she was walking around the same track . 
 I was running around the track at my college and there she was walking around the same track . , Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods . 
 Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods . ," Well , it pays off for her.How old is she anyway ? "
" Well , it pays off for her.How old is she anyway ? ", She will be 86 next month . 
 She will be 86 next month . , That is truly amazing ! 
I would like to register for a class today . ," No problem , what class would you like to take ? "
" No problem , what class would you like to take ? ", I would very much enjoy taking a Psychology class.Because I'm crazy . 
 I would very much enjoy taking a Psychology class.Because I'm crazy . , There are two classes that are still open . 
 There are two classes that are still open . , Which days are these classes on ? 
 Which days are these classes on ? , The first class is a Tuesday and Thursday class from two to three . 
 The first class is a Tuesday and Thursday class from two to three . , What about the other class ? 
 What about the other class ? , The other class is on Monday and Wednesday from 10 am - 12 . 
 The other class is on Monday and Wednesday from 10 am - 12 . , Are you sure there are no more open classes ? 
 Are you sure there are no more open classes ? , I'm positive . 
 I'm positive . , Sign me up for Monday and Wednesday . 
 Sign me up for Monday and Wednesday . ," Okay , I'll sign you up . "
"Dad , why are you taping the windows ? "," Honey , a typhoon is coming . "
" Honey , a typhoon is coming . "," Really ? Wow , I don't have to go to school tomorrow . "
" Really ? Wow , I don't have to go to school tomorrow . "," Jenny , come and help , we need to prepare more food . "
" Jenny , come and help , we need to prepare more food . ", OK . Dad ! I'm coming . 
"Hi , my name is Lean , and I'm from Russia . "," Nice to meet you , Lean . My name is Alike . I'm from Japan . "
" Nice to meet you , Lean . My name is Alike . I'm from Japan . ", To me English is a difficult language . 
 To me English is a difficult language . , A second language is always difficult . 
 A second language is always difficult . ," True , but English is harder than most . It's a crazy language . "
" True , but English is harder than most . It's a crazy language . ", A crazy language ? Why do you say that ? 
 A crazy language ? Why do you say that ? , One letter can have several pronunciations and one word can have several meanings . 
 One letter can have several pronunciations and one word can have several meanings . , No wonder you say English is a crazy language . 
Can I help you ? ," I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . "
" I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . ", I'll certainly try to help you . What topic is your paper on ? 
 I'll certainly try to help you . What topic is your paper on ? , My paper is on the influence of television on children . 
 My paper is on the influence of television on children . , There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
 There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . , Thank you for you help . 
Here ’ s your hot dog and beer . What happened ? Did I miss anything ? ," Yeah , Cal Ripen just hit a home run . "
" Yeah , Cal Ripen just hit a home run . ", What ’ s the score ? 
 What ’ s the score ? ," Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base . "
" Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base . ", So Baltimore is winning ? 
 So Baltimore is winning ? , Right . 
 Right . , This is a really great place to watch a baseball game . 
 This is a really great place to watch a baseball game . ," Yeah , there isn ’ t a bad seat in the place . "
" Yeah , there isn ’ t a bad seat in the place . "," The fans are great here , too . Not like in Philadelphia . "
" The fans are great here , too . Not like in Philadelphia . ", It was a great idea to spend a day watching a game . 
 It was a great idea to spend a day watching a game . ," Yeah , it reminds you why they say baseball is America ’ s favorite pastime . "
How do you like the pizza here ? , Perfect . It really hits the spot . 
Do you have a light ? ," Sorry , I don't smoke . "
I was scared stiff of giving my first performance . , Were you ? your performance was excellent . 
 Were you ? your performance was excellent . , Thank you for your kindly words . 
Excuse me . Could you please take a picture of us with this camera ? , Sure . Which button do I press to shoot ? 
 Sure . Which button do I press to shoot ? , This one . 
 This one . , Do I have to focus it ? 
 Do I have to focus it ? ," No , this is a focus-free camera . All you have to do is point and press the button . "
" No , this is a focus-free camera . All you have to do is point and press the button . ", All right . Say cheese ! 
Every country should face the history . ," Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history . "
" Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history . "," Sometimes , we , human beings , really had done something wrong , so we should admit it at first . "
" Sometimes , we , human beings , really had done something wrong , so we should admit it at first . ", But there is always somebody who wants to turn his back on the true history . 
 But there is always somebody who wants to turn his back on the true history . ," I believe such things won ’ t be realized , just daydreaming . "
"Do you like traveling , Kathy ? "," I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ... "
" I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ... ", Or getting stuck in traffic jams when you ’ re driving . 
 Or getting stuck in traffic jams when you ’ re driving . , Exactly . 
Your house is too small . Why not buy a big one . , I do wish I could afford one . 
 I do wish I could afford one . , You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases . 
 You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases . , Of course I know that . But don't you notice that the house price is skyrocketing ? 
"How do you do , Prof.Smith . "," How do you do , Ms . Yang.You speak very good English . "
" How do you do , Ms . Yang.You speak very good English . ", Thank you . I begin to like English even when I was a child . 
 Thank you . I begin to like English even when I was a child . , Where did you learn it ? 
 Where did you learn it ? ," At school , in China.This is my first time to be out of my own country . "
" At school , in China.This is my first time to be out of my own country . ", It's amazing . 
Do you want black or white coffee ? ," White , please "
" White , please ", Look ! there's a Folk concert tomorrow evening . Do you Want to go ? 
 Look ! there's a Folk concert tomorrow evening . Do you Want to go ? , I don't like Folk music very much . 
 I don't like Folk music very much . , What kind of music do you like ? 
 What kind of music do you like ? , I like classical music . Do you ? 
 I like classical music . Do you ? , Not very much . Classical music sends me to sleep 
 Not very much . Classical music sends me to sleep , I don't believe you . 
 I don't believe you . , It ’ s true . 
 It ’ s true . , You are funny ! 
 You are funny ! , So are you ! How about another coffee ? 
What do you like to do in your spare time ? , I like playing chess . 
 I like playing chess . , Do you have any hobbies besides playing chess ? 
 Do you have any hobbies besides playing chess ? , I'm afraid not . 
 I'm afraid not . , Do you have any hobbies like playing tennis or things like that ? 
 Do you have any hobbies like playing tennis or things like that ? ," Oh , yes . I like playing basketball . "
" Oh , yes . I like playing basketball . ", Can you tell me why you like it ? 
 Can you tell me why you like it ? , Because I like the feeling of cooperating with others . 
Where is John ? I can't find him anywhere . , Haven't you heard that he is in prison ? 
 Haven't you heard that he is in prison ? , What ? Beg your pardon . 
 What ? Beg your pardon . , John is in prison now . He was copped outstealing . 
 John is in prison now . He was copped outstealing . , I just cann't believe my ears ! 
Can I help you ? ," I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . "
" I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . ", I'll certainly try to help you.What topic is your paper on ? 
 I'll certainly try to help you.What topic is your paper on ? , My paper is on the influence of television on children . 
 My paper is on the influence of television on children . , There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
 There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . , Thank you for you help . 
"Hey , Ted . What are you up to this Friday ? "," Well , I have the day off from work . "
" Well , I have the day off from work . ", That ’ s great ! Do you have any plans ? 
 That ’ s great ! Do you have any plans ? ," Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy . "
" Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy . ", Sounds nice . 
 Sounds nice . ," Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies . "
" Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies . ", Can I stop by ? 
 Can I stop by ? , Sure . Any time . 
You honestly believe the world ’ s improving every year ? ," Yes , I do . I think that science is making us wiser . What do you think ? "
" Yes , I do . I think that science is making us wiser . What do you think ? ", I don ’ t think you ’ re right there . 
 I don ’ t think you ’ re right there . , I believe industry is making us wealthier . 
 I believe industry is making us wealthier . , I don ’ t believe that . 
 I don ’ t believe that . ," And in my opinion , medicine is making us healthier . "
" And in my opinion , medicine is making us healthier . "," I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ? "
" I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ? "," I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago . "
" I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago . ", That ’ s your opinion not mine . 
What do you plan to do for your birthday ? ," I want to have a picnic with my friends , Mum . "
" I want to have a picnic with my friends , Mum . ", How about a party at home ? That way we can get together and celebrate it . 
 How about a party at home ? That way we can get together and celebrate it . ," OK , Mum . I'll invite my friends home . "
How may I help you ? , I would like to return this book . 
 I would like to return this book . , Is that all you need ? 
 Is that all you need ? , I also want to check out this video . 
 I also want to check out this video . , Is that all you would like to check out ? 
 Is that all you would like to check out ? , That ’ s all I need . 
 That ’ s all I need . , Do you have your library card ? 
 Do you have your library card ? , Here it is . 
 Here it is . , Make sure to take proper care of this video . 
 Make sure to take proper care of this video . , That won ’ t be a problem . 
 That won ’ t be a problem . ," If you damage the video , you will be fined . "
" If you damage the video , you will be fined . ", I won ’ t damage it . 
What's the matter with you then ? You look miserable . , It's us . 
 It's us . , What do you mean by us . 
 What do you mean by us . ," Well , you always say you're busy . "
" Well , you always say you're busy . ", That's right . 
 That's right . , And you often go back to live with your parents and leave our son in the room by himself . 
 And you often go back to live with your parents and leave our son in the room by himself . ," I ... I ... I miss my parents , also they miss me . "
" I ... I ... I miss my parents , also they miss me . "," Oh I remember , I cut terrible calls , and you didn't say anything about it . "
" Oh I remember , I cut terrible calls , and you didn't say anything about it . ", You mean I am groaned a few words ? 
 You mean I am groaned a few words ? , Totally not . Perhaps it's about our marriage . 
"Hi , Mary . You look pale today . What's the matter with you ? ", I think I've caught a cold . Now I'm aching all over . 
 I think I've caught a cold . Now I'm aching all over . , You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon . 
 You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon . , Thank you . I suppose I should go to see a doctor . 
"I feel like going for a drink , it's been a long day . "," Great idea ! Peter , I could use the drink . "
" Great idea ! Peter , I could use the drink . ", How about the new bar across road ? 
 How about the new bar across road ? ," Sounds good . The food there is fantastic , too . "
" Sounds good . The food there is fantastic , too . "," I agree , I had lunch there last week . "
" I agree , I had lunch there last week . ", excellent ! That sounds like a plan . 
"Could you tell me the right time , please ? ", Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days . 
 Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days . , You have to go and fix it . 
 You have to go and fix it . , Yes . I will . 
does your family have a record of your ancestors ? , sure . My mom has been working on our family tree for years . She ’ s always updating it . 
 sure . My mom has been working on our family tree for years . She ’ s always updating it . , do you have a copy of your family tree in your house ? I ’ d love to see it . 
 do you have a copy of your family tree in your house ? I ’ d love to see it . ," I can show it to you now , if you like . I think it goes back about 8 generations so far . "
" I can show it to you now , if you like . I think it goes back about 8 generations so far . ", that ’ s amazing . Do you have a large extended family ? 
 that ’ s amazing . Do you have a large extended family ? , I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side . 
 I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side . , are you very close to your first-cousins ? 
 are you very close to your first-cousins ? ," the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones . "
" the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones . ", I see . who ’ s the head of your household ? 
 I see . who ’ s the head of your household ? ," it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family . "
" it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family . ", that ’ s interesting . What does your grandfather think of your step-mother ? 
 that ’ s interesting . What does your grandfather think of your step-mother ? ," at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother . "
" at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother . "," that ’ s pretty much how you feel about your step-mother . Like grandmother , like grandson . "
"Hi , Mr . Wang . Do you feel like going boating with me ? "," Sounds interesting , I haven't gone boating for some time now , and what time ? "
" Sounds interesting , I haven't gone boating for some time now , and what time ? ", How about tomorrow afternoon ? 
 How about tomorrow afternoon ? , Sure . Where shall I meet you ? 
 Sure . Where shall I meet you ? , At the gate of the park . 
 At the gate of the park . , Great . I look forward to meeting you . 
 Great . I look forward to meeting you . , See you then . 
 See you then . , See you . 
I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ? ," Yes , it's so exciting , though I had the most falls in our skiing team . "
" Yes , it's so exciting , though I had the most falls in our skiing team . ", Isn't there any coach to teach you how to ski ? 
 Isn't there any coach to teach you how to ski ? , Of course there is . The top-level coaches there are from the State Sports General Administration . 
 Of course there is . The top-level coaches there are from the State Sports General Administration . , Could you move smoothly ? 
 Could you move smoothly ? , Yes.My face even ached in the icy wind . 
 Yes.My face even ached in the icy wind . , What happened afterwards ? 
 What happened afterwards ? , I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was . 
 I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was . , Poor girl ! 
You look pale recently . , Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . 
 Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . , Take good care of yourself . 
 Take good care of yourself . , Thank you . I will . 
"Hey , Maggy , Did you hear about David ? "," About David ? No , I didn ’ t hear anything . "
" About David ? No , I didn ’ t hear anything . "," You know , about David and his new boss . "
" You know , about David and his new boss . "," Sorry , I don ’ t quite follow you . "
" Sorry , I don ’ t quite follow you . "," Well , I heard David has been fired . "
" Well , I heard David has been fired . "," Oh , that is a shame . He is really hard working . "
how do you usually get to school ? , I usually ride my bike . Which form of transport do you prefer to use ? 
 I usually ride my bike . Which form of transport do you prefer to use ? ," I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car . "
" I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car . ", I think we should discourage people from using their private cars . They produce too much pollution ! 
 I think we should discourage people from using their private cars . They produce too much pollution ! ," I agree , but I would find it difficult to stop using my car . It's just so convenient . "
" I agree , but I would find it difficult to stop using my car . It's just so convenient . "," cars might be convenient , but they're so bad for the environment . "
" cars might be convenient , but they're so bad for the environment . ", do you have a car ? 
 do you have a car ? ," no . I used to have one though . Once I started using my bicycle to get around , I found that I didn't really need it . "
" no . I used to have one though . Once I started using my bicycle to get around , I found that I didn't really need it . "," maybe if I sold my car now , I wouldn't be so tempted to use it . "
" maybe if I sold my car now , I wouldn't be so tempted to use it . ", you could try . It would save you a lot of money . 
 you could try . It would save you a lot of money . ," that's true . Every month , I spend hundreds of dollars on gas , insurance , and repairs . "
" that's true . Every month , I spend hundreds of dollars on gas , insurance , and repairs . "," if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too ! "
" if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too ! ", I could stand to lose a few pounds . Having a car has made me lazy . I never end up walking anywhere ! 
 I could stand to lose a few pounds . Having a car has made me lazy . I never end up walking anywhere ! , let's go to a car dealership . I'll help you try to sell your car for a good price . 
 let's go to a car dealership . I'll help you try to sell your car for a good price . , sounds good ! Let's go ! 
What's wrong with him ? , His nose is out of joint because we forgot to invite him to the party . 
"What are you going to do for one year abroad , Tom ? "," Study , study , study . I want to learn a lot . "
" Study , study , study . I want to learn a lot . ", You are going to take courses ? 
 You are going to take courses ? , Yes . I am going to take some university courses there . 
 Yes . I am going to take some university courses there . , Sounds hard . 
 Sounds hard . ," Yes , but I think it's probably for the best . "
" Yes , but I think it's probably for the best . ", Won ’ t you get lonely ? 
 Won ’ t you get lonely ? ," Hey , I am a pretty cool guy . I will make friends , and I'll have a lot of extracurricular activities too . You know , like fencing , or theater or something . "
"Isn't this lovely weather ? Will you help me water the flowers , Jack ? "," Well , do you think I have to ? "
" Well , do you think I have to ? ", I do.We haven't watered them for quite a few days . 
 I do.We haven't watered them for quite a few days . , Please look at the sky.Don ' t you see the dark clouds ? It's going to rain soon . 
 Please look at the sky.Don ' t you see the dark clouds ? It's going to rain soon . , Good.So we don't have to work.How nice ! 
 Good.So we don't have to work.How nice ! , But I don't think it's so nice . 
 But I don't think it's so nice . , Why ? 
 Why ? , The weather report says it's going to rain for a whole week . 
 The weather report says it's going to rain for a whole week . ," Oh , I'm afraid all the flowers will die in the rain . "
"On , darn . The grocery store is closed . "," Yeah , this one closes at ten . We could drive to the 24 - hour store on sixth . "
" Yeah , this one closes at ten . We could drive to the 24 - hour store on sixth . ", Alright . We are out of everything . 
 Alright . We are out of everything . , I wish the store close to us was open 24 - house a day . 
 I wish the store close to us was open 24 - house a day . ," I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home . "
" I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home . "," Yeah , and the prices there are very high . "
" Yeah , and the prices there are very high . ", I know . Three dollars for milk . 
Do you think they two will get married ? , You can count on it . 
 You can count on it . ," I think so.Yes , they get along so well . "
" I think so.Yes , they get along so well . ", I like him.He ' s good for her . 
 I like him.He ' s good for her . , You're right . He sure is . 
"Dad , where are we off to ? ", First we will go to the city centre and stop for something to drink . Then we will visit the University Museum . 
 First we will go to the city centre and stop for something to drink . Then we will visit the University Museum . , Where are we going to have a drink ? 
 Where are we going to have a drink ? , There is a coffee shop round the corner . Can you see that big building at the end of the road ? 
 There is a coffee shop round the corner . Can you see that big building at the end of the road ? , Yes ? 
 Yes ? , That is a bank . The coffee shop is opposite the bank . 
 That is a bank . The coffee shop is opposite the bank . , Good . I will have hot chocolate . 
 Good . I will have hot chocolate . , A stop ! Wait for the lights to turn green . 
 A stop ! Wait for the lights to turn green . , When crossing the road you must always pay attention to what's around you . 
